iter	RMSE
0	0.2178114137
1	0.2145979821
2	0.2119175603
3	0.2095610005
4	0.2076441787
5	0.2059139836
6	0.204609876
7	0.2032398393
8	0.2020872421
9	0.2011808385
10	0.2003392526
11	0.1994760412
12	0.198817016
13	0.1982406807
14	0.1976603281
15	0.1972176761
16	0.1967609027
17	0.196349049
18	0.1960119184
19	0.1956561258
20	0.1953524333
21	0.1950944349
22	0.1949063343
23	0.1946143208
24	0.1943944473
25	0.194206189
26	0.1940294898
27	0.1937809547
28	0.1936179535
29	0.1934750426
30	0.1933153677
31	0.1931573769
32	0.1930341349
33	0.1929001934
34	0.1927385177
35	0.1926474022
36	0.1925132775
37	0.1924186254
38	0.1923310431
39	0.1922394199
40	0.1921186688
41	0.1920522887
42	0.1919336583
43	0.1918585121
44	0.1917796524
45	0.1916964686
46	0.1916049106
47	0.1915232365
48	0.1914454141
49	0.1913903375
50	0.1913603443
51	0.1912699048
52	0.1911881238
53	0.1911391798
54	0.1910722443
55	0.1910259912
56	0.1909880193
57	0.1909552871
58	0.1908959181
59	0.1908638612
60	0.1908564595
61	0.1908045753
62	0.1907633155
63	0.1907150877
64	0.1906588365
65	0.190617283
66	0.1905740663
67	0.1905092281
68	0.1904552392
69	0.1904209613
70	0.1903708475
71	0.1903261
72	0.1902980198
73	0.1902529329
74	0.1902312339
75	0.190195882
76	0.1901797592
77	0.1901332338
78	0.1901168448
79	0.1900870678
80	0.1900633385
81	0.1900230515
82	0.1900106881
83	0.1899771349
84	0.1899230766
85	0.1898877158
86	0.1898860958
87	0.1898490357
88	0.1897979802
89	0.1897738208
90	0.1897461742
91	0.1897337882
92	0.1897053771
93	0.189687318
94	0.1896639447
95	0.189635487
96	0.1895896076
97	0.1895741013
98	0.1895557951
99	0.1895283672
100	0.1895208241
101	0.1894629081
102	0.1894374994
103	0.1894158908
104	0.1893946634
105	0.189358655
106	0.1893292529
107	0.1892766987
108	0.18923899
109	0.1892189537
110	0.1892167411
111	0.1892066744
112	0.1891815339
113	0.1891578496
114	0.1891228563
115	0.1890780081
116	0.189070083
117	0.1890595887
118	0.1890280175
119	0.1890261709
120	0.1889899832
121	0.1889656048
122	0.1889361588
123	0.1889339896
124	0.1889320488
125	0.1889224786
126	0.1889205028
127	0.1889015716
128	0.1888997626
129	0.1888600303
130	0.1888361379
131	0.1888017716
132	0.1887671409
133	0.1887467372
134	0.1887067117
135	0.1887012023
136	0.1886674889
137	0.1886367397
138	0.1886089926
139	0.1885613728
140	0.1885600666
141	0.188507761
142	0.1885063242
143	0.1885044426
144	0.1885031501
145	0.1885015106
146	0.188477453
147	0.1884370157
148	0.1884205468
149	0.1883956096
150	0.1883717985
151	0.1883495488
152	0.1883177554
153	0.1882907652
154	0.1882893678
155	0.1882486599
156	0.188232395
157	0.1881871625
158	0.1881694899
159	0.1881682355
160	0.1881670953
161	0.1881506741
162	0.1881263181
163	0.1880999659
164	0.1880988642
165	0.1880676135
166	0.1880277431
167	0.1880269292
168	0.1879871511
169	0.187949244
170	0.1879364314
171	0.187901294
172	0.1879004368
173	0.187899763
174	0.1878864962
175	0.1878624033
176	0.1878326725
177	0.1878320404
178	0.1878313201
179	0.1878168739
180	0.1877844492
181	0.1877449144
182	0.1877054318
183	0.1876692818
184	0.1876369358
