iter	Passed	Remaining
0	141	70594
1	146	36387
2	150	24902
3	155	19230
4	167	16611
5	171	14130
6	175	12371
7	179	11048
8	183	10024
9	187	9210
10	192	8550
11	197	8046
12	203	7613
13	208	7225
14	213	6897
15	217	6586
16	222	6322
17	227	6086
18	232	5884
19	237	5707
20	243	5542
21	247	5377
22	252	5228
23	256	5091
24	262	4978
25	266	4865
26	271	4764
27	277	4669
28	281	4577
29	286	4484
30	290	4398
31	295	4321
32	300	4250
33	305	4192
34	311	4131
35	315	4072
36	321	4022
37	326	3971
38	331	3919
39	336	3869
40	340	3812
41	344	3761
42	349	3716
43	354	3676
44	359	3634
45	364	3595
46	368	3551
47	372	3506
48	376	3469
49	381	3434
50	386	3400
51	390	3364
52	395	3336
53	400	3306
54	405	3277
55	409	3249
56	414	3219
57	419	3194
58	423	3167
59	428	3142
60	431	3105
61	436	3082
62	441	3062
63	446	3039
64	451	3020
65	455	2998
66	460	2977
67	465	2956
68	470	2936
69	474	2916
70	479	2897
71	484	2877
72	488	2858
73	493	2840
74	498	2823
75	503	2806
76	507	2790
77	512	2774
78	517	2758
79	521	2740
80	526	2723
81	531	2707
82	535	2691
83	540	2677
84	544	2659
85	549	2644
86	553	2625
87	557	2611
88	562	2595
89	566	2582
90	571	2568
91	575	2554
92	580	2541
93	584	2526
94	589	2512
95	593	2498
96	598	2486
97	602	2473
98	608	2463
99	612	2451
100	617	2439
101	622	2427
102	626	2416
103	631	2404
104	636	2393
105	642	2386
106	649	2384
107	654	2376
108	660	2368
109	665	2357
110	669	2347
111	674	2337
112	679	2326
113	684	2318
114	689	2308
115	694	2298
116	699	2289
117	704	2280
118	709	2271
119	714	2261
120	719	2253
121	724	2243
122	729	2234
123	733	2225
124	738	2216
125	743	2206
126	748	2197
127	752	2187
128	757	2178
129	762	2170
130	767	2161
131	772	2153
132	777	2145
133	782	2137
134	787	2128
135	792	2120
136	797	2112
137	802	2104
138	807	2096
139	811	2087
140	816	2079
141	821	2071
142	826	2063
143	831	2054
144	835	2045
145	840	2036
146	844	2028
147	849	2020
148	854	2012
149	859	2005
150	864	1997
151	868	1989
152	873	1981
153	878	1974
154	883	1966
155	888	1959
156	893	1950
157	897	1943
158	902	1935
159	907	1927
160	911	1920
161	917	1913
162	921	1905
163	926	1898
164	931	1891
165	936	1884
166	941	1876
167	945	1869
168	950	1861
169	955	1854
170	960	1847
171	965	1840
172	969	1832
173	974	1825
174	978	1817
175	983	1810
176	988	1803
177	993	1796
178	997	1789
179	1002	1782
180	1007	1775
181	1011	1767
182	1016	1760
183	1020	1752
184	1025	1745
185	1030	1739
186	1034	1731
187	1039	1725
188	1044	1718
189	1048	1711
190	1053	1704
191	1058	1697
192	1062	1690
193	1067	1684
194	1072	1676
195	1076	1670
196	1081	1664
197	1086	1657
198	1091	1651
199	1096	1645
200	1101	1639
201	1106	1632
202	1111	1625
203	1116	1620
204	1121	1614
205	1126	1608
206	1132	1603
207	1137	1596
208	1142	1590
209	1147	1585
210	1152	1579
211	1157	1572
212	1162	1566
213	1166	1559
214	1171	1552
215	1176	1546
216	1181	1540
217	1185	1533
218	1190	1527
219	1194	1520
220	1199	1514
221	1204	1508
222	1209	1502
223	1214	1496
224	1219	1490
225	1224	1484
226	1229	1478
227	1233	1471
228	1238	1465
229	1243	1459
230	1247	1453
231	1252	1447
232	1257	1441
233	1262	1435
234	1267	1428
235	1271	1422
236	1275	1415
237	1280	1409
238	1285	1403
239	1289	1396
240	1294	1390
241	1299	1384
242	1303	1378
243	1308	1373
244	1314	1367
245	1319	1362
246	1323	1355
247	1328	1349
248	1333	1343
249	1337	1337
250	1342	1331
251	1347	1325
252	1352	1320
253	1357	1314
254	1362	1308
255	1367	1303
256	1372	1297
257	1377	1292
258	1381	1285
259	1386	1280
260	1391	1274
261	1396	1268
262	1400	1262
263	1405	1256
264	1410	1250
265	1415	1245
266	1419	1238
267	1424	1233
268	1429	1227
269	1434	1222
270	1439	1216
271	1444	1210
272	1449	1205
273	1453	1199
274	1458	1193
275	1462	1187
276	1467	1181
277	1472	1176
278	1478	1170
279	1482	1165
280	1487	1159
281	1493	1154
282	1498	1148
283	1503	1143
284	1508	1137
285	1512	1131
286	1518	1126
287	1522	1121
288	1527	1115
289	1532	1110
290	1537	1104
291	1542	1098
292	1548	1093
293	1554	1088
294	1559	1083
295	1564	1078
296	1570	1073
297	1575	1067
298	1580	1062
299	1585	1056
300	1590	1051
301	1595	1045
302	1600	1040
303	1606	1035
304	1611	1030
305	1618	1026
306	1624	1021
307	1630	1016
308	1636	1011
309	1642	1006
310	1648	1001
311	1655	997
312	1665	995
313	1673	991
314	1680	986
315	1686	981
316	1692	976
317	1698	972
318	1704	967
319	1711	962
320	1717	957
321	1723	952
322	1730	948
323	1739	945
324	1745	939
325	1751	934
326	1757	929
327	1762	924
328	1767	918
329	1773	913
330	1779	908
331	1785	903
332	1793	899
333	1798	893
334	1804	888
335	1809	883
336	1815	877
337	1820	872
338	1825	867
339	1831	861
340	1836	856
341	1842	851
342	1847	845
343	1853	840
344	1858	835
345	1864	829
346	1868	823
347	1873	818
348	1878	812
349	1883	807
350	1888	801
351	1894	796
352	1899	791
353	1904	785
354	1910	780
355	1915	774
356	1920	769
357	1925	763
358	1930	758
359	1935	752
360	1941	747
361	1946	742
362	1951	736
363	1956	731
364	1962	726
365	1968	720
366	1978	716
367	1984	711
368	1989	706
369	1994	700
370	2003	696
371	2009	691
372	2014	685
373	2019	680
374	2024	674
375	2029	669
376	2035	664
377	2040	658
378	2045	653
379	2050	647
380	2054	641
381	2059	636
382	2064	630
383	2069	625
384	2074	619
385	2080	614
386	2085	608
387	2090	603
388	2095	597
389	2100	592
390	2104	586
391	2110	581
392	2115	575
393	2120	570
394	2125	564
395	2131	559
396	2136	554
397	2141	548
398	2146	543
399	2151	537
400	2156	532
401	2161	526
402	2166	521
403	2171	516
404	2176	510
405	2182	505
406	2187	499
407	2192	494
408	2197	488
409	2202	483
410	2207	478
411	2212	472
412	2217	467
413	2222	461
414	2226	456
415	2231	450
416	2236	445
417	2241	439
418	2246	434
419	2251	428
420	2256	423
421	2261	418
422	2266	412
423	2271	407
424	2276	401
425	2281	396
426	2286	390
427	2290	385
428	2295	379
429	2300	374
430	2304	369
431	2309	363
432	2314	358
433	2319	352
434	2324	347
435	2329	342
436	2334	336
437	2339	331
438	2344	325
439	2349	320
440	2353	314
441	2358	309
442	2363	304
443	2367	298
444	2372	293
445	2377	287
446	2382	282
447	2387	277
448	2391	271
449	2396	266
450	2400	260
451	2405	255
452	2410	250
453	2415	244
454	2420	239
455	2424	233
456	2429	228
457	2433	223
458	2438	217
459	2443	212
460	2447	207
461	2452	201
462	2457	196
463	2461	190
464	2467	185
465	2472	180
466	2477	175
467	2482	169
468	2486	164
469	2491	159
470	2496	153
471	2500	148
472	2505	143
473	2509	137
474	2514	132
475	2518	127
476	2523	121
477	2528	116
478	2533	111
479	2537	105
480	2543	100
481	2549	95
482	2555	89
483	2561	84
484	2566	79
485	2572	74
486	2577	68
487	2583	63
488	2588	58
489	2593	52
490	2599	47
491	2605	42
492	2610	37
493	2620	31
494	2625	26
495	2632	21
496	2638	15
497	2644	10
498	2649	5
499	2654	0
